,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
league,season,team,player,,,,,,,,,,,,,,,
INT-World Cup,2014,Cameroon,Aurélien Chedjou,Cameroon,DF,28,1985,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Benjamin Moukandjo,Cameroon,"FW,MF",25,1988,2.6,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Benoît Assou-Ekotto,Cameroon,DF,30,1984,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Charles Itandje,Cameroon,GK,31,1982,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Cédric Djeugoué,Cameroon,"DF,MF",21,1992,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Dany Nounkeu,Cameroon,DF,28,1986,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Edgar Salli,Cameroon,"FW,MF",21,1992,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Eric Maxim Choupo-Moting,Cameroon,"FW,MF",25,1989,2.7,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Eyong Enoh,Cameroon,MF,28,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Henri Bedimo,Cameroon,DF,30,1984,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Jean Makoun,Cameroon,MF,31,1983,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Joël Matip,Cameroon,"DF,MF",22,1991,2.0,1,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Landry N'Guémo,Cameroon,"DF,MF",28,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Nicolas Nkoulou,Cameroon,DF,24,1990,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Pierre Webó,Cameroon,FW,32,1982,0.6,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Samuel Eto'o,Cameroon,FW,33,1981,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Stéphane Mbia,Cameroon,"DF,MF",28,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Cameroon,Vincent Aboubakar,Cameroon,FW,22,1992,1.6,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Alexis Sánchez,Chile,"FW,MF",25,1988,4.3,2,,,,,,,,0,0
INT-World Cup,2014,Chile,Arturo Vidal,Chile,MF,27,1987,2.6,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Carlos Carmona,Chile,MF,27,1987,0.0,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Charles Aránguiz,Chile,MF,25,1989,4.0,1,,,,,,,,0,0
INT-World Cup,2014,Chile,Claudio Bravo,Chile,GK,31,1983,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Eduardo Vargas,Chile,"FW,MF",24,1989,3.4,1,,,,,,,,0,0
INT-World Cup,2014,Chile,Eugenio Mena,Chile,"DF,MF",25,1988,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Felipe Gutiérrez,Chile,MF,23,1990,1.9,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Francisco Silva,Chile,"DF,MF",28,1986,3.1,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Gary Medel,Chile,"DF,MF",26,1987,4.2,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Gonzalo Jara,Chile,"DF,MF",28,1985,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Jean Beausejour,Chile,"DF,FW",30,1984,0.8,1,,,,,,,,0,0
INT-World Cup,2014,Chile,Jorge Valdivia,Chile,MF,30,1983,1.0,1,,,,,,,,0,0
INT-World Cup,2014,Chile,José Rojas,Chile,DF,30,1983,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Marcelo Díaz,Chile,MF,27,1986,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Mauricio Isla,Chile,"DF,MF",26,1988,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Chile,Mauricio Pinilla,Chile,FW,30,1984,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Abel Aguilar,Colombia,MF,29,1985,2.6,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Adrián Ramos,Colombia,FW,28,1986,1.6,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Alexander Mejía,Colombia,MF,25,1988,1.6,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Carlos Bacca,Colombia,FW,27,1986,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Carlos Carbonero,Colombia,MF,23,1990,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Carlos Sánchez,Colombia,"DF,MF",28,1986,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Carlos Valdés,Colombia,DF,29,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Cristián Zapata,Colombia,DF,27,1986,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,David Ospina,Colombia,GK,25,1988,4.9,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Faryd Mondragón,Colombia,GK,42,1971,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Fredy Guarín,Colombia,MF,27,1986,2.1,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Jackson Martínez,Colombia,FW,27,1986,2.2,2,,,,,,,,0,0
INT-World Cup,2014,Colombia,James Rodríguez,Colombia,"FW,MF",22,1991,4.4,6,,,,,,,,1,1
INT-World Cup,2014,Colombia,Juan Cuadrado,Colombia,"DF,FW",26,1988,4.3,1,,,,,,,,1,1
INT-World Cup,2014,Colombia,Juan Quintero,Colombia,"FW,MF",21,1993,1.0,1,,,,,,,,0,0
INT-World Cup,2014,Colombia,Juan Zúñiga,Colombia,"DF,MF",28,1985,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Mario Yepes,Colombia,DF,38,1976,4.0,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Pablo Armero,Colombia,"DF,MF",27,1986,4.6,1,,,,,,,,0,0
INT-World Cup,2014,Colombia,Santiago Arias,Colombia,"DF,MF",22,1992,1.4,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Teófilo Gutiérrez,Colombia,"FW,MF",29,1985,3.3,1,,,,,,,,0,0
INT-World Cup,2014,Colombia,Víctor Ibarbo,Colombia,"FW,MF",24,1990,2.1,0,,,,,,,,0,0
INT-World Cup,2014,Colombia,Éder Álvarez Balanta,Colombia,"DF,MF",21,1993,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Bryan Ruiz,Costa Rica,"FW,MF",28,1985,5.5,2,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Celso Borges,Costa Rica,"FW,MF",26,1988,5.5,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Christian Bolaños,Costa Rica,MF,30,1984,4.6,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Cristian Gamboa,Costa Rica,"DF,MF",24,1989,4.7,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,David Myrie,Costa Rica,DF,26,1988,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Giancarlo González,Costa Rica,DF,26,1988,5.7,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Joel Campbell,Costa Rica,"FW,MF",21,1992,4.6,1,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Johnny Acosta,Costa Rica,DF,30,1983,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,José Miguel Cubero,Costa Rica,MF,27,1987,1.3,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Júnior Díaz,Costa Rica,"DF,MF",30,1983,5.7,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Keylor Navas,Costa Rica,GK,27,1986,5.7,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Marco Ureña,Costa Rica,FW,24,1990,1.2,1,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Michael Barrantes,Costa Rica,MF,30,1983,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Michael Umaña,Costa Rica,DF,31,1982,4.7,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Randall Brenes,Costa Rica,FW,30,1983,1.2,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Roy Miller,Costa Rica,DF,29,1984,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Yeltsin Tejeda,Costa Rica,MF,22,1992,4.3,0,,,,,,,,0,0
INT-World Cup,2014,Costa Rica,Óscar Duarte,Costa Rica,DF,25,1989,3.7,1,,,,,,,,0,0
INT-World Cup,2014,Croatia,Ante Rebić,Croatia,"FW,MF",20,1993,0.5,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Danijel Pranjić,Croatia,"DF,MF",32,1981,1.8,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Darijo Srna,Croatia,"DF,MF",32,1982,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Dejan Lovren,Croatia,DF,24,1989,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Eduardo da Silva,Croatia,FW,31,1983,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Ivan Perišić,Croatia,"FW,MF",25,1989,2.9,2,,,,,,,,0,0
INT-World Cup,2014,Croatia,Ivan Rakitić,Croatia,MF,26,1988,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Ivica Olić,Croatia,FW,34,1979,2.5,1,,,,,,,,0,0
INT-World Cup,2014,Croatia,Luka Modrić,Croatia,MF,28,1985,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Marcelo Brozović,Croatia,MF,21,1992,0.3,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Mario Mandžukić,Croatia,"FW,MF",28,1986,2.0,2,,,,,,,,0,0
INT-World Cup,2014,Croatia,Mateo Kovačić,Croatia,MF,20,1994,1.2,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Nikica Jelavić,Croatia,FW,28,1985,1.0,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Sammir,Croatia,"FW,MF",27,1987,0.8,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Stipe Pletikosa,Croatia,GK,35,1979,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Vedran Ćorluka,Croatia,DF,28,1986,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Croatia,Šime Vrsaljko,Croatia,"DF,MF",22,1992,1.6,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Arthur Boka,Côte d'Ivoire,DF,31,1983,2.8,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Boubacar Barry,Côte d'Ivoire,GK,34,1979,3.0,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Cheick Tioté,Côte d'Ivoire,MF,27,1986,2.7,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Constant Djakpa,Côte d'Ivoire,DF,27,1986,0.2,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Didier Drogba,Côte d'Ivoire,FW,36,1978,1.5,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Didier Ya Konan,Côte d'Ivoire,"FW,MF",30,1984,0.1,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Didier Zokora,Côte d'Ivoire,MF,33,1980,2.0,0,,,,,,,,0,0
INT-World Cup,2014,Côte d'Ivoire,Gervinho,Côte d'Ivoire,"FW,MF",27,1987,2.9,2,,,,,,,,0,0
