,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
league,season,team,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Uruguay,19,27.6,47.4,5,55,450,5.0,6,4,10,6,0,0,3,0,1.2,0.8,2.0,1.2,2.0,/en/squads/870e020f/2018/Uruguay-Men-Stats
INT-World Cup,2022,Argentina,24,27.5,57.4,7,77,690,7.7,15,8,23,11,4,5,19,0,1.96,1.04,3.0,1.43,2.48,/en/squads/f9fddd6e/2022/Argentina-Men-Stats
INT-World Cup,2022,Australia,20,27.8,37.8,4,44,360,4.0,3,3,6,3,0,0,7,0,0.75,0.75,1.5,0.75,1.5,/en/squads/b90bf4f9/2022/Australia-Men-Stats
INT-World Cup,2022,Belgium,20,29.7,57.0,3,33,270,3.0,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,/en/squads/361422b9/2022/Belgium-Men-Stats
INT-World Cup,2022,Brazil,26,27.6,56.2,5,55,480,5.3,8,6,14,7,1,1,6,0,1.5,1.13,2.62,1.31,2.44,/en/squads/304635c3/2022/Brazil-Men-Stats
INT-World Cup,2022,Cameroon,22,27.2,41.7,3,33,270,3.0,4,4,8,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67,/en/squads/896550da/2022/Cameroon-Men-Stats
INT-World Cup,2022,Canada,19,27.3,52.0,3,33,270,3.0,1,1,2,1,0,1,8,0,0.33,0.33,0.67,0.33,0.67,/en/squads/9c6d90a0/2022/Canada-Men-Stats
INT-World Cup,2022,Costa Rica,22,29.7,31.3,3,33,270,3.0,3,1,4,3,0,0,6,0,1.0,0.33,1.33,1.0,1.33,/en/squads/1ea5ab66/2022/Costa-Rica-Men-Stats
INT-World Cup,2022,Croatia,21,28.3,54.3,7,77,690,7.7,8,8,16,8,0,0,8,0,1.04,1.04,2.09,1.04,2.09,/en/squads/7b08e376/2022/Croatia-Men-Stats
INT-World Cup,2022,Denmark,20,26.6,60.0,3,33,270,3.0,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,/en/squads/29a4e4af/2022/Denmark-Men-Stats
INT-World Cup,2022,Ecuador,18,24.9,53.3,3,33,270,3.0,4,2,6,3,1,1,3,0,1.33,0.67,2.0,1.0,1.67,/en/squads/123acaf8/2022/Ecuador-Men-Stats
INT-World Cup,2022,England,20,26.1,62.8,5,55,450,5.0,13,11,24,12,1,2,1,0,2.6,2.2,4.8,2.4,4.6,/en/squads/1862c019/2022/England-Men-Stats
INT-World Cup,2022,France,24,26.3,51.3,7,77,660,7.3,16,12,28,14,2,2,8,0,2.18,1.64,3.82,1.91,3.55,/en/squads/b1b36dcd/2022/France-Men-Stats
INT-World Cup,2022,Germany,20,27.3,59.3,3,33,270,3.0,6,5,11,5,1,1,3,0,2.0,1.67,3.67,1.67,3.33,/en/squads/c1e40422/2022/Germany-Men-Stats
INT-World Cup,2022,Ghana,20,25.5,42.0,3,33,270,3.0,5,2,7,5,0,1,8,0,1.67,0.67,2.33,1.67,2.33,/en/squads/9349828d/2022/Ghana-Men-Stats
INT-World Cup,2022,IR Iran,21,28.5,36.7,3,33,270,3.0,4,2,6,3,1,1,7,0,1.33,0.67,2.0,1.0,1.67,/en/squads/6a08f71e/2022/IR-Iran-Men-Stats
INT-World Cup,2022,Japan,22,28.0,35.8,4,44,390,4.3,5,4,9,5,0,0,6,0,1.15,0.92,2.08,1.15,2.08,/en/squads/ffcf1690/2022/Japan-Men-Stats
INT-World Cup,2022,Korea Republic,21,28.2,48.3,4,44,360,4.0,5,3,8,5,0,0,7,0,1.25,0.75,2.0,1.25,2.0,/en/squads/473f0fbf/2022/Korea-Republic-Men-Stats
INT-World Cup,2022,Mexico,21,28.2,54.0,3,33,270,3.0,2,1,3,2,0,0,7,0,0.67,0.33,1.0,0.67,1.0,/en/squads/b009a548/2022/Mexico-Men-Stats
INT-World Cup,2022,Morocco,25,26.3,39.0,7,77,660,7.3,6,4,10,6,0,0,9,1,0.82,0.55,1.36,0.82,1.36,/en/squads/af41ccda/2022/Morocco-Men-Stats
INT-World Cup,2022,Netherlands,21,26.8,53.0,5,55,480,5.3,10,8,18,10,0,0,12,1,1.87,1.5,3.38,1.87,3.38,/en/squads/5bb5024a/2022/Netherlands-Men-Stats
INT-World Cup,2022,Poland,21,27.8,37.3,4,44,360,4.0,3,1,4,2,1,2,7,0,0.75,0.25,1.0,0.5,0.75,/en/squads/8912dcf0/2022/Poland-Men-Stats
INT-World Cup,2022,Portugal,24,26.9,60.4,5,55,450,5.0,12,10,22,10,2,2,6,0,2.4,2.0,4.4,2.0,4.0,/en/squads/4a1b4ea8/2022/Portugal-Men-Stats
INT-World Cup,2022,Qatar,20,28.2,43.0,3,33,270,3.0,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,/en/squads/9b696ed1/2022/Qatar-Men-Stats
INT-World Cup,2022,Saudi Arabia,23,27.3,44.7,3,33,270,3.0,3,2,5,3,0,1,14,0,1.0,0.67,1.67,1.0,1.67,/en/squads/6e84edac/2022/Saudi-Arabia-Men-Stats
INT-World Cup,2022,Senegal,20,26.9,44.8,4,44,360,4.0,5,2,7,4,1,1,7,0,1.25,0.5,1.75,1.0,1.5,/en/squads/9ab5c684/2022/Senegal-Men-Stats
INT-World Cup,2022,Serbia,22,26.5,51.3,3,33,270,3.0,5,4,9,5,0,0,12,0,1.67,1.33,3.0,1.67,3.0,/en/squads/1d6f5c9b/2022/Serbia-Men-Stats
INT-World Cup,2022,Spain,21,25.5,75.8,4,44,390,4.3,9,5,14,8,1,1,2,0,2.08,1.15,3.23,1.85,3.0,/en/squads/b561dd30/2022/Spain-Men-Stats
INT-World Cup,2022,Switzerland,24,27.6,49.0,4,44,360,4.0,5,4,9,5,0,0,9,0,1.25,1.0,2.25,1.25,2.25,/en/squads/81021a70/2022/Switzerland-Men-Stats
INT-World Cup,2022,Tunisia,21,26.9,44.3,3,33,270,3.0,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,/en/squads/a7c7562a/2022/Tunisia-Men-Stats
INT-World Cup,2022,United States,20,24.5,53.0,4,44,360,4.0,3,3,6,3,0,0,5,0,0.75,0.75,1.5,0.75,1.5,/en/squads/0f66725b/2022/United-States-Men-Stats
INT-World Cup,2022,Uruguay,19,27.6,48.7,3,33,270,3.0,2,1,3,2,0,0,8,0,0.67,0.33,1.0,0.67,1.0,/en/squads/870e020f/2022/Uruguay-Men-Stats
INT-World Cup,2022,Wales,18,26.8,46.7,3,33,270,3.0,1,0,1,0,1,1,5,1,0.33,0.0,0.33,0.0,0.0,/en/squads/b1bbcad3/2022/Wales-Men-Stats
